          10(100 %)      230 hsa-miR-363-3p|MIMAT0000707
          10(100 %)      231 hsa-miR-365a-3p|MIMAT0000710
          10(100 %)      232 hsa-miR-376c-3p|MIMAT0000720
           0(  0 %)      233 hsa-miR-369-5p|MIMAT0001621
           0(  0 %)      234 hsa-miR-369-3p|MIMAT0000721
           0(  0 %)      235 hsa-miR-370-3p|MIMAT0000722
           0(  0 %)      236 hsa-miR-374a-5p|MIMAT0000727
           0(  0 %)      237 hsa-miR-374a-3p|MIMAT0004688
          10(100 %)      238 hsa-miR-375|MIMAT0000728
           0(  0 %)      239 hsa-miR-377-5p|MIMAT0004689
           1( 10 %)      240 hsa-miR-378a-5p|MIMAT0000731
          10(100 %)      241 hsa-miR-378a-3p|MIMAT0000732
           0(  0 %)      242 hsa-miR-379-5p|MIMAT0000733
           7( 70 %)      243 hsa-miR-381-3p|MIMAT0000736
           0(  0 %)      244 hsa-miR-382-5p|MIMAT0000737
           0(  0 %)      245 hsa-miR-340-5p|MIMAT0004692
           4( 40 %)      246 hsa-miR-340-3p|MIMAT0000750
           7( 70 %)      247 hsa-miR-330-5p|MIMAT0004693
           0(  0 %)      248 hsa-miR-330-3p|MIMAT0000751
          10(100 %)      249 hsa-miR-328-3p|MIMAT0000752
           0(  0 %)      250 hsa-miR-342-5p|MIMAT0004694
           0(  0 %)      251 hsa-miR-342-3p|MIMAT0000753
           0(  0 %)      252 hsa-miR-337-3p|MIMAT0000754
           7( 70 %)      253 hsa-miR-323a-3p|MIMAT0000755
           0(  0 %)      254 hsa-miR-326|MIMAT0000756
           0(  0 %)      255 hsa-miR-151a-5p|MIMAT0004697
           0(  0 %)      256 hsa-miR-151a-3p|MIMAT0000757
          10(100 %)      257 hsa-miR-135b-5p|MIMAT0000758
           0(  0 %)      258 hsa-miR-148b-5p|MIMAT0004699
           0(  0 %)      259 hsa-miR-148b-3p|MIMAT0000759
           0(  0 %)      260 hsa-miR-331-5p|MIMAT0004700
           0(  0 %)      261 hsa-miR-331-3p|MIMAT0000760
           0(  0 %)      262 hsa-miR-324-5p|MIMAT0000761
           0(  0 %)      263 hsa-miR-324-3p|MIMAT0000762
           8( 80 %)      264 hsa-miR-338-5p|MIMAT0004701
           2( 20 %)      265 hsa-miR-338-3p|MIMAT0000763
           0(  0 %)      266 hsa-miR-339-5p|MIMAT0000764
           0(  0 %)      267 hsa-miR-339-3p|MIMAT0004702
          10(100 %)      268 hsa-miR-335-5p|MIMAT0000765
           0(  0 %)      269 hsa-miR-335-3p|MIMAT0004703
          10(100 %)      270 hsa-miR-345-5p|MIMAT0000772
          10(100 %)      271 hsa-miR-196b-5p|MIMAT0001080
           0(  0 %)      272 hsa-miR-423-5p|MIMAT0004748
           0(  0 %)      273 hsa-miR-423-3p|MIMAT0001340
           0(  0 %)      274 hsa-miR-424-5p|MIMAT0001341
          10(100 %)      275 hsa-miR-424-3p|MIMAT0004749
           0(  0 %)      276 hsa-miR-425-5p|MIMAT0003393
           0(  0 %)      277 hsa-miR-425-3p|MIMAT0001343
           4( 40 %)      278 hsa-miR-20b-5p|MIMAT0001413
          10(100 %)      279 hsa-miR-20b-3p|MIMAT0004752
          10(100 %)      280 hsa-miR-429|MIMAT0001536
